# timestamp tx ty tz qx qy qz qw
1783055814.100302 30.444017 14.545816 0.486750 -0.012588 0.225346 0.297835 0.927553
1783055814.200142 30.523825 14.536000 0.480615 -0.008246 0.222884 0.291134 0.930320
1783055814.300462 30.601480 14.525252 0.472894 -0.007120 0.213322 0.283588 0.934891
1783055814.400302 30.679405 14.512653 0.470265 -0.007971 0.210709 0.280684 0.936352
1783055814.500143 30.758606 14.497538 0.468009 -0.003858 0.215279 0.271912 0.937925
1783055814.600462 30.835947 14.481383 0.467652 0.001997 0.223047 0.263961 0.938387
1783055814.700303 30.910196 14.462089 0.465599 0.010276 0.221808 0.263100 0.938869
1783055814.800143 30.986179 14.442899 0.456962 0.010991 0.223021 0.265663 0.937851
1783055814.900462 31.062239 14.423883 0.448427 0.007683 0.219256 0.273294 0.936578
1783055815.000303 31.133163 14.402362 0.445169 -0.003978 0.205976 0.283955 0.936444
1783055815.100156 31.208794 14.381109 0.443604 -0.013790 0.209169 0.292176 0.933109
1783055815.200476 31.282175 14.355703 0.442919 -0.013257 0.208715 0.300505 0.930569
1783055815.300316 31.357201 14.332163 0.439709 -0.011811 0.220838 0.299845 0.928000
1783055815.400156 31.428104 14.306940 0.435062 -0.009962 0.225460 0.302504 0.926045
1783055815.500476 31.500156 14.279715 0.429562 -0.005591 0.225469 0.303672 0.925697
1783055815.600316 31.573475 14.253664 0.420819 -0.009514 0.222825 0.301283 0.927085
1783055815.700156 31.641886 14.228335 0.414867 -0.018065 0.214133 0.296093 0.930672
1783055815.800476 31.713554 14.201121 0.414266 -0.025549 0.215019 0.293848 0.931003
1783055815.900316 31.784136 14.173135 0.414300 -0.022065 0.219059 0.294529 0.929935
1783055816.000156 31.854906 14.143194 0.414665 -0.013153 0.224883 0.295466 0.928415
1783055816.100489 31.926060 14.113413 0.411160 -0.006252 0.227501 0.298686 0.926818
1783055816.200329 31.995249 14.082463 0.406101 -0.004631 0.223070 0.304609 0.925976
1783055816.300169 32.063313 14.051858 0.400834 -0.009894 0.213753 0.315510 0.924481
1783055816.400489 32.129559 14.020487 0.397262 -0.024269 0.206247 0.329546 0.921017
1783055816.500329 32.200436 13.990321 0.395218 -0.032615 0.211778 0.335604 0.917309
1783055816.600169 32.268894 13.959517 0.395658 -0.036592 0.214395 0.339308 0.915186
1783055816.700489 32.337456 13.929687 0.392604 -0.035396 0.222556 0.339685 0.913143
1783055816.800329 32.405319 13.901498 0.390387 -0.031053 0.224968 0.342308 0.911729
1783055816.900169 32.471504 13.873172 0.384337 -0.027398 0.222475 0.345932 0.911090
1783055817.000489 32.536720 13.847422 0.377508 -0.029501 0.216322 0.349536 0.911131
1783055817.100343 32.602085 13.823474 0.374821 -0.035408 0.214647 0.352835 0.910044
1783055817.200183 32.665577 13.800326 0.377487 -0.041047 0.211027 0.352336 0.910847
1783055817.300023 32.729980 13.778152 0.379505 -0.036239 0.216160 0.353464 0.909409
1783055817.400343 32.789913 13.753728 0.382680 -0.030621 0.211312 0.359153 0.908526
1783055817.500183 32.850044 13.732690 0.381968 -0.029526 0.206166 0.366595 0.906770
1783055817.600023 32.905258 13.710227 0.378431 -0.033733 0.197387 0.376891 0.904353
1783055817.700343 32.962734 13.688622 0.375199 -0.042837 0.205099 0.389181 0.897016
1783055817.800183 33.014011 13.667758 0.376881 -0.048495 0.206066 0.394294 0.894269
1783055817.900023 33.065731 13.647782 0.377553 -0.054108 0.214152 0.396020 0.891280
1783055818.000343 33.115173 13.629157 0.381184 -0.053267 0.224381 0.395219 0.889167
1783055818.100197 33.160130 13.609192 0.382775 -0.053343 0.225560 0.398401 0.887442
1783055818.200037 33.204094 13.592518 0.383383 -0.054161 0.223759 0.400516 0.886897
1783055818.300357 33.240372 13.573658 0.383622 -0.054259 0.210549 0.401200 0.889811
1783055818.400197 33.278755 13.557512 0.388844 -0.057237 0.214767 0.400882 0.888759
1783055818.500036 33.307430 13.542313 0.395023 -0.061992 0.206138 0.397366 0.892056
1783055818.600357 33.335400 13.526156 0.402550 -0.061399 0.203678 0.405885 0.888821
1783055818.700197 33.357010 13.512231 0.404741 -0.064943 0.198724 0.415110 0.885423
1783055818.800036 33.377335 13.499373 0.407263 -0.068465 0.191703 0.429339 0.879904
1783055818.900357 33.394085 13.486225 0.411316 -0.069105 0.189123 0.442924 0.873656
1783055819.000196 33.405502 13.475641 0.414841 -0.072183 0.186996 0.455150 0.867560
1783055819.100050 33.413300 13.466313 0.415598 -0.074766 0.185829 0.467023 0.861259
1783055819.200370 33.416473 13.459724 0.415962 -0.073806 0.186056 0.474497 0.857198
1783055819.300210 33.416962 13.455869 0.418741 -0.073014 0.188257 0.482392 0.852365
1783055819.400050 33.413372 13.453385 0.420764 -0.072343 0.187575 0.486321 0.850338
1783055819.500370 33.408722 13.452394 0.419826 -0.074223 0.190188 0.486901 0.849263
1783055819.600210 33.403587 13.452248 0.417563 -0.074467 0.193333 0.488656 0.847521
1783055819.700050 33.396938 13.450130 0.416957 -0.068569 0.191140 0.490567 0.847412
1783055819.800370 33.389194 13.447361 0.416432 -0.064793 0.186270 0.491715 0.848129
1783055819.900210 33.382820 13.446598 0.415828 -0.066603 0.184093 0.491304 0.848701
1783055820.000050 33.377113 13.445221 0.413416 -0.066632 0.182333 0.493229 0.847962
1783055820.100384 33.372974 13.442701 0.413170 -0.064165 0.175813 0.496641 0.847538
1783055820.200224 33.370556 13.439436 0.412699 -0.061655 0.171077 0.501997 0.845536
1783055820.300064 33.368279 13.435363 0.412337 -0.061627 0.166318 0.505649 0.844310
1783055820.400384 33.367958 13.431955 0.409658 -0.061984 0.164473 0.510501 0.841721
1783055820.500224 33.368397 13.426170 0.408630 -0.060479 0.162631 0.516039 0.838807
1783055820.600064 33.369362 13.421562 0.407469 -0.059508 0.162808 0.520218 0.836257
